Pais,Loc,Cuenta
AFGANISTAN,(33.93911, 67.709953),6
ALBANIA,(41.153332, 20.168331),3
ALEMANIA,(51.165691, 10.451526),3586
ANDORRA,(42.546245, 1.601554),31
ANGOLA,(-11.202692, 17.873887),7
ANTILLAS HOLANDESAS,(52.132633, 5.291266),369
ARABIA SAUDITA,(23.885942, 45.079162),88
ARGELIA,(28.033886, 1.659626),11
ARGENTINA,(-38.416097, -63.616672),11423
ARMENIA,(40.069099, 45.038189),2
ARUBA,(12.52111, -69.968338),3934
AUSTRALIA,(-25.274398, 133.775136),5808
AUSTRIA,(47.516231, 14.550072),597
AZERBAIYAN,(40.143105, 47.576927),57
BAHAMAS,(25.03428, -77.39628),10
BAHREIN,(25.930414, 50.637772),30
BANGLADESH,(23.684994, 90.356331),5
BARBADOS,(13.193887, -59.543198),6
BELGICA,(50.503887, 4.469936),1756
BELICE,(17.189877, -88.49765),3
BENIN,(9.30769, 2.315834),1
BERMUDAS,(32.321384, -64.75737),2
BIELORRUSIA,(53.709807, 27.953389),7
BOLIVIA,(-16.290154, -63.588653),1131
BONAIRE,(0, 0),20
BOSNIA Y HERZEGOVINA,(43.915886, 17.679076),1
BRASIL,(-14.235004, -51.92528),6162
BRUNEI DARUSSALAM,(4.535277, 114.727669),2
BULGARIA,(42.733883, 25.48583),7
BURKINA FASO,(12.238333, -1.561593),1
BURUNDI,(-3.373056, 29.918886),2
BUTAN,(27.514162, 90.433601),1
CABO VERDE,(16.002082, -24.013197),6
CAMBOYA,(12.565679, 104.990963),19
CAMERUN,(7.369722, 12.354722),4
CANADA,(56.130366, -106.346771),21844
CHILE,(-35.675147, -71.542969),14778
CHINA,(35.86166, 104.195397),524
CHIPRE,(35.126413, 33.429859),8
CONGO,(-0.228021, 15.827659),1
COSTA DE MARFIL,(7.539989, -5.54708),1
COSTA RICA,(9.748917, -83.753428),6295
CROACIA,(45.1, 15.2),11
CUBA,(21.521757, -77.781167),173
CURA‚AO,(0, 0),2630
DESCONOCIDO,(0, 0),34
DINAMARCA,(56.26392, 9.501785),184
DOMINICA,(15.414999, -61.370976),1
ECUADOR,(-1.831239, -78.183406),26114
EGIPTO,(26.820553, 30.802498),67
EL SALVADOR,(13.794185, -88.89653),555
EMIRATOS ARABES UNIDOS,(23.424076, 53.847818),1242
ESLOVAQUIA,(48.669026, 19.699024),8
ESLOVENIA,(46.151241, 14.995463),12
ESPA„A,(40.463667, -3.74922),80213
ESTADOS UNIDOS,(37.09024, -95.712891),112279
ESTONIA,(58.595272, 25.013607),9
ETIOPIA,(9.145, 40.489673),5
FEDERACION DE RUSIA,(61.52401, 105.318756),470
FILIPINAS,(12.879721, 121.774017),44
FINLANDIA,(61.92411, 25.748151),244
FRANCIA,(46.227638, 2.213749),11970
GABON,(-0.803689, 11.609444),12
GEORGIA,(42.315407, 43.356892),1
GHANA,(7.946527, -1.023194),16
GRECIA,(39.074208, 21.824312),92
GUADALUPE,(16.995971, -62.067641),1
GUATEMALA,(15.783471, -90.230759),786
GUINEA,(9.945587, -9.696645),2
GUINEA ECUATORIAL,(1.650801, 10.267895),8
GUINEA-BISSAU,(11.803749, -15.180413),1
GUYANA,(4.860416, -58.93018),17
GUYANA FRANCESA,(3.933889, -53.125782),24
HAITI,(18.971187, -72.285215),47
