ciudad,ocupacion,sexo,Hombres,Mujeres
BARRANQUILLA A.M.,Comerciantes y vendedores,noinforma,0,0
BARRANQUILLA A.M.,Comerciantes y vendedores,ninguno,2.2,0.7
BARRANQUILLA A.M.,Comerciantes y vendedores,primariaincompleta,10,5.9
BARRANQUILLA A.M.,Comerciantes y vendedores,primariacompleta,14.9,8.9
BARRANQUILLA A.M.,Comerciantes y vendedores,secundariaincompleta,14.2,16.6
BARRANQUILLA A.M.,Comerciantes y vendedores,secundariacompleta,32.9,37.8
BARRANQUILLA A.M.,Comerciantes y vendedores,superiorincompleta,19.5,22.1
BARRANQUILLA A.M.,Comerciantes y vendedores,superiorcompleta,6.3,8
BARRANQUILLA A.M.,Dir/func Publicos superiores,noinforma,0,0
BARRANQUILLA A.M.,Dir/func Publicos superiores,ninguno,0,0
BARRANQUILLA A.M.,Dir/func Publicos superiores,primariaincompleta,0,0
BARRANQUILLA A.M.,Dir/func Publicos superiores,primariacompleta,3.2,0
BARRANQUILLA A.M.,Dir/func Publicos superiores,secundariaincompleta,6.4,7
BARRANQUILLA A.M.,Dir/func Publicos superiores,secundariacompleta,14.3,4.1
BARRANQUILLA A.M.,Dir/func Publicos superiores,superiorincompleta,16.5,26
BARRANQUILLA A.M.,Dir/func Publicos superiores,superiorcompleta,59.6,62.9
BARRANQUILLA A.M.,No informa,noinforma,0,0
BARRANQUILLA A.M.,No informa,ninguno,0,0
BARRANQUILLA A.M.,No informa,primariaincompleta,31.1,0
BARRANQUILLA A.M.,No informa,primariacompleta,28,0
BARRANQUILLA A.M.,No informa,secundariaincompleta,30,62.4
BARRANQUILLA A.M.,No informa,secundariacompleta,11,37.6
BARRANQUILLA A.M.,No informa,superiorincompleta,0,0
BARRANQUILLA A.M.,No informa,superiorcompleta,0,0
BARRANQUILLA A.M.,P. Administrativo.,noinforma,0,0
BARRANQUILLA A.M.,P. Administrativo.,ninguno,0,0.2
BARRANQUILLA A.M.,P. Administrativo.,primariaincompleta,0,0
BARRANQUILLA A.M.,P. Administrativo.,primariacompleta,2.6,2
BARRANQUILLA A.M.,P. Administrativo.,secundariaincompleta,6.1,4.1
BARRANQUILLA A.M.,P. Administrativo.,secundariacompleta,40.7,26.4
BARRANQUILLA A.M.,P. Administrativo.,superiorincompleta,34.5,48.5
BARRANQUILLA A.M.,P. Administrativo.,superiorcompleta,16.1,18.7
BARRANQUILLA A.M.,Profesionales y tecnicos,noinforma,0,0
BARRANQUILLA A.M.,Profesionales y tecnicos,ninguno,0,0
BARRANQUILLA A.M.,Profesionales y tecnicos,primariaincompleta,0,0
BARRANQUILLA A.M.,Profesionales y tecnicos,primariacompleta,1.1,0.6
BARRANQUILLA A.M.,Profesionales y tecnicos,secundariaincompleta,3.6,0
