ciudad,ocupacion,Hombres,Mujeres,total
PAIS,Comerciantes y vendedores,908388,1074150,1982538
PAIS,Dir/func Publicos superiores,210344,140660,351004
PAIS,No informa,70771,13628,84399
PAIS,P. Administrativo.,540032,758118,1298150
PAIS,Profesionales y tecnicos,819636,652432,1472068
PAIS,Trab Agropecuarios y forestales,66539,12728,79267
PAIS,Trab de los servicios,708063,1582639,2290702
PAIS,Trab/operad no agricolas,2285749,578883,2864632
BARRANQUILLA A.M.,Comerciantes y vendedores,82258,82892,165150
BARRANQUILLA A.M.,No informa,4871,439,5310
BARRANQUILLA A.M.,P. Administrativo.,105291,99093,204384
BARRANQUILLA A.M.,Dir/func Publicos superiores,13683,8993,22676
BARRANQUILLA A.M.,Trab de los servicios,59354,98908,158262
BARRANQUILLA A.M.,Trab/operad no agricolas,197933,32120,230053
BARRANQUILLA A.M.,Trab Agropecuarios y forestales,3513,486,3999
BOGOTA,Comerciantes y vendedores,338530,393810,732340
BOGOTA,No informa,21359,4165,25524
BOGOTA,P. Administrativo.,577369,622469,1199838
BOGOTA,Dir/func Publicos superiores,94764,72168,166932
BOGOTA,Trab de los servicios,268601,670109,938710
BOGOTA,Trab/operad no agricolas,861304,218679,1079983
BOGOTA,Trab Agropecuarios y forestales,23511,5018,28529
BUCARAMANGA A.M.,Comerciantes y vendedores,51882,72336,124218
BUCARAMANGA A.M.,No informa,3413,1118,4531
BUCARAMANGA A.M.,P. Administrativo.,69231,79313,148544
BUCARAMANGA A.M.,Dir/func Publicos superiores,9029,6244,15273
BUCARAMANGA A.M.,Trab de los servicios,35428,76868,112296
BUCARAMANGA A.M.,Trab/operad no agricolas,125261,39044,164305
BUCARAMANGA A.M.,Trab Agropecuarios y forestales,5161,1509,6670
CALI A.M.,Comerciantes y vendedores,88648,114381,203029
CALI A.M.,No informa,9163,3132,12295
CALI A.M.,P. Administrativo.,148128,131471,279599
CALI A.M.,Dir/func Publicos superiores,17236,12779,30015
CALI A.M.,Trab de los servicios,92325,184406,276731
CALI A.M.,Trab/operad no agricolas,246185,61586,307771
CALI A.M.,Trab Agropecuarios y forestales,9348,1279,10627
CARTAGENA,Comerciantes y vendedores,35341,47698,83039
CARTAGENA,No informa,3377,231,3608
CARTAGENA,P. Administrativo.,56447,47310,103757
CARTAGENA,Dir/func Publicos superiores,6429,3851,10280
CARTAGENA,Trab de los servicios,25559,63398,88957
CARTAGENA,Trab/operad no agricolas,103266,16513,119779
CARTAGENA,Trab Agropecuarios y forestales,2212,482,2694
CUCUTA A.M.,Comerciantes y vendedores,44211,43536,87747
CUCUTA A.M.,No informa,3156,1011,4167
CUCUTA A.M.,P. Administrativo.,28708,31422,60130
CUCUTA A.M.,Dir/func Publicos superiores,3629,2333,5962
CUCUTA A.M.,Trab de los servicios,20804,54665,75469
CUCUTA A.M.,Trab/operad no agricolas,89879,16775,106654
CUCUTA A.M.,Trab Agropecuarios y forestales,3224,136,3360
IBAGUE,Comerciantes y vendedores,24979,31998,56977
IBAGUE,No informa,2727,309,3036
IBAGUE,P. Administrativo.,28985,29281,58266
IBAGUE,Dir/func Publicos superiores,3179,2052,5231
IBAGUE,Trab de los servicios,15638,39387,55025
IBAGUE,Trab/operad no agricolas,52536,14118,66654
IBAGUE,Trab Agropecuarios y forestales,2773,226,2999
MANIZALES A.M.,Comerciantes y vendedores,16539,17255,33794
MANIZALES A.M.,No informa,1571,707,2278
MANIZALES A.M.,P. Administrativo.,26520,28065,54585
MANIZALES A.M.,Dir/func Publicos superiores,3554,2118,5672
MANIZALES A.M.,Trab de los servicios,11651,28102,39753
MANIZALES A.M.,Trab/operad no agricolas,39196,9126,48322
MANIZALES A.M.,Trab Agropecuarios y forestales,1527,171,1698
MEDELLIN A.M.,Comerciantes y vendedores,147950,177263,325213
MEDELLIN A.M.,No informa,15569,1249,16818
MEDELLIN A.M.,P. Administrativo.,232505,247131,479636
MEDELLIN A.M.,Dir/func Publicos superiores,45732,22918,68650
MEDELLIN A.M.,Trab de los servicios,121705,242353,364058
MEDELLIN A.M.,Trab/operad no agricolas,387071,134355,521426
MEDELLIN A.M.,Trab Agropecuarios y forestales,6419,2374,8793
MONTERIA,Comerciantes y vendedores,15705,15460,31165
MONTERIA,No informa,567,105,672
MONTERIA,P. Administrativo.,16580,16249,32829
MONTERIA,Dir/func Publicos superiores,1811,989,2800
MONTERIA,Trab de los servicios,9083,24581,33664
MONTERIA,Trab/operad no agricolas,36969,7833,44802
MONTERIA,Trab Agropecuarios y forestales,1768,97,1865
PASTO,Comerciantes y vendedores,16467,23109,39576
PASTO,No informa,1129,884,2013
PASTO,P. Administrativo.,19965,20725,40690
PASTO,Dir/func Publicos superiores,2598,1225,3823
PASTO,Trab de los servicios,11677,28465,40142
PASTO,Trab/operad no agricolas,38766,6791,45557
PASTO,Trab Agropecuarios y forestales,1287,436,1723
PEREIRA A.M.,Comerciantes y vendedores,24837,28403,53240
PEREIRA A.M.,No informa,1924,98,2022
PEREIRA A.M.,P. Administrativo.,27187,34934,62121
PEREIRA A.M.,Dir/func Publicos superiores,6295,3331,9626
PEREIRA A.M.,Trab de los servicios,22300,39396,61696
PEREIRA A.M.,Trab/operad no agricolas,60635,15808,76443
PEREIRA A.M.,Trab Agropecuarios y forestales,3545,327,3872
VILLAVICENCIO,Comerciantes y vendedores,21041,26009,47050
VILLAVICENCIO,No informa,1945,180,2125
VILLAVICENCIO,P. Administrativo.,22752,23087,45839
VILLAVICENCIO,Dir/func Publicos superiores,2405,1659,4064
VILLAVICENCIO,Trab de los servicios,13938,32001,45939
VILLAVICENCIO,Trab/operad no agricolas,46748,6135,52883
VILLAVICENCIO,Trab Agropecuarios y forestales,2251,187,2438
